experiment,level,model_family,scope,trained_asset,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean,qlike_rank,rmse_rank,mae_rank
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,SPY,SPY,post_crisis,Naive_Rolling22,880,2.8786541514463466,1.4285681413996656,1.1096659888870948,1.3100887978011189,1.3231015697107544,1,6,12
ML_Strict_PreCrisis,by_period,Benchmark,pooled,ALL,SPY,post_crisis,Naive_Rolling22,880,2.8786541514463466,1.4285681413996656,1.1096659888870948,1.3100887978011189,1.3231015697107544,1,6,12
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,SPY,post_crisis,RandomForest,880,2.932325547073884,1.2734231086636556,1.1849228308399729,1.3100887978011189,0.8111611907257807,3,12,9
ML_Strict_PreCrisis,by_period,ML,asset_specific,SPY,SPY,post_crisis,RandomForest,880,3.025380519387009,1.2424215534594942,1.481532812046497,1.3100887978011189,0.6040576750837563,4,16,1
ML_Strict_PreCrisis,by_period,ML,asset_specific,SPY,SPY,post_crisis,GradientBoosting,880,3.036554240781141,1.2432302973388734,1.5745919239283617,1.3100887978011189,0.5732042083759096,5,17,2
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,SPY,SPY,post_crisis,GJR_GARCH_11,880,2.721971679601934,1.4415793705715094,1.642930171308116,1.3100887978011186,1.505286404719343,6,2,16
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,SPY,SPY,post_crisis,EGARCH_11,880,2.6787829377740984,1.4195071340973295,1.655681309056299,1.3100887978011186,1.4274959338358724,7,1,11
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,post_crisis,RandomForest,880,2.8381023763597892,1.5076756293577804,1.6679028123468769,1.3100887978011189,1.5373415780520514,8,4,18
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,SPY,SPY,post_crisis,GARCH_11,880,2.796374539724467,1.5020894935402112,1.690241273199642,1.3100887978011186,1.5187209357952869,9,3,17
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,post_crisis,XGBoost,880,2.980432660100325,1.6070889062884175,1.7323868391919013,1.3100887978011189,1.6549521719190208,10,14,20
GARCH_Rolling,by_period,Benchmark,asset_specific_rolling,SPY,SPY,post_crisis,Naive_Rolling22,880,2.878654151446346,1.4285681413996656,1.7612851374869014,1.3100887978011186,1.3231015697107544,11,5,12
ML_Rolling,by_period,Benchmark,asset_specific_rolling,SPY,SPY,post_crisis,Naive_Rolling22,880,2.8786541514463466,1.4285681413996656,1.761285137486907,1.3100887978011189,1.3231015697107544,12,6,12
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,post_crisis,GradientBoosting,880,2.91676361312447,1.6598537983929844,1.78723433768262,1.3100887978011189,1.7163002579225957,13,11,21
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,SPY,post_crisis,GradientBoosting,880,2.9492034192519267,1.2596111311556974,21414.700447366227,1.3100887978011189,0.7291771297947564,14,13,6
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,SPY,post_crisis,XGBoost,880,2.9100272314246034,1.274636560367441,30171.52635812473,1.3100887978011189,0.8094671524266858,15,10,10
ML_Strict_PreCrisis,by_period,ML,asset_specific,SPY,SPY,post_crisis,XGBoost,880,3.040724746950906,1.2455589154247984,31112.999193920154,1.3100887978011189,0.5596208126445177,16,18,3
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,post_crisis,LightGBM,880,2.892163229200128,1.5809465252814572,811827.8425631365,1.3100887978011189,1.5754385024541266,17,9,19
ML_Strict_PreCrisis,by_period,ML,asset_specific,SPY,SPY,post_crisis,LightGBM,880,3.048895781337975,1.2507739671391096,838508.2436588939,1.3100887978011189,0.5447063153278631,18,19,4
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,SPY,post_crisis,LightGBM,880,3.0001043476007148,1.2709874753598112,9113867.443578506,1.3100887978011189,0.6646819726376918,19,15,7
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,post_crisis,Ridge,880,3.4285265681214288,1.697290314000539,20746024.077244785,1.3100887978011189,1.6061578110018584,20,22,22
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,SPY,post_crisis,Ridge,880,3.0967479338861152,1.2716708295132084,47440471.73702559,1.3100887978011189,0.4290839578918862,21,20,8
ML_Strict_PreCrisis,by_period,ML,asset_specific,SPY,SPY,post_crisis,Ridge,880,3.097498898926372,1.2530774699486442,66899829.97486888,1.3100887978011189,0.2691836355884688,22,21,5
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,XLF,XLF,crisis,GJR_GARCH_11,504,36.860085222815506,18.980437187902105,1.4522959911821631,18.360091584501824,18.47682978873784,1,1,12
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,XLF,XLF,crisis,GARCH_11,504,37.28491100757393,19.173781392737613,1.519888549567971,18.360091584501824,18.361179564052055,2,5,13
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,crisis,RandomForest,504,37.02860716628861,19.622670870886044,1.5468829181206174,18.360091584501824,19.11249565204869,3,3,19
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,crisis,XGBoost,504,36.920142946641576,19.222160347919832,1.5632573693670786,18.360091584501824,18.11900793276136,4,2,14
GARCH_Rolling,by_period,Benchmark,asset_specific_rolling,XLF,XLF,crisis,Naive_Rolling22,504,37.484503849949206,19.26643169204656,1.5759334077006728,18.360091584501824,18.27977164002958,5,9,15
ML_Rolling,by_period,Benchmark,asset_specific_rolling,XLF,XLF,crisis,Naive_Rolling22,504,37.4845038499492,19.26643169204656,1.5759334077006737,18.360091584501824,18.279771640029576,6,6,15
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,crisis,GradientBoosting,504,37.23118114487891,18.943204476094216,2.0174313423062853,18.360091584501824,17.3229590927832,7,4,11
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,XLF,XLF,crisis,Naive_Rolling22,504,37.4845038499492,19.26643169204656,3.578101358091013,18.360091584501824,18.279771640029576,8,6,15
ML_Strict_PreCrisis,by_period,Benchmark,pooled,ALL,XLF,crisis,Naive_Rolling22,504,37.4845038499492,19.26643169204656,3.578101358091013,18.360091584501824,18.279771640029576,8,6,15
ML_Strict_PreCrisis,by_period,ML,asset_specific,XLF,XLF,crisis,RandomForest,504,43.08795709297991,17.546048162178398,13.795002418774622,18.360091584501824,1.311663288682042,10,15,1
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,XLF,crisis,RandomForest,504,43.061082265377394,17.55203486485427,14.353608519508589,18.360091584501824,1.3389924399330206,11,14,3
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,XLF,crisis,XGBoost,504,42.99429960229658,17.546815897278435,18.276853684187852,18.360091584501824,1.503074142335367,12,12,2
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,XLF,crisis,GradientBoosting,504,43.142409289090104,17.671593852073755,22.569211480642803,18.360091584501824,1.191866224839718,13,17,5
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,crisis,LightGBM,504,38.697875679197146,20.41319996179525,8577051.689119093,18.360091584501824,18.086088343030543,14,10,20
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,XLF,XLF,crisis,EGARCH_11,504,inf,inf,15602845.576747067,18.360091584501824,inf,15,22,22
ML_Strict_PreCrisis,by_period,ML,asset_specific,XLF,XLF,crisis,XGBoost,504,42.995569111011385,17.619701744223352,58972593.00399065,18.360091584501824,1.3708928484381633,16,13,4
ML_Strict_PreCrisis,by_period,ML,asset_specific,XLF,XLF,crisis,GradientBoosting,504,43.117821131932715,17.711066112501115,131832505.49167491,18.360091584501824,1.1999175211300697,17,16,6
ML_Strict_PreCrisis,by_period,ML,asset_specific,XLF,XLF,crisis,LightGBM,504,43.214079597408826,17.750754261155567,140906965.54907432,18.360091584501824,1.0119955766345283,18,18,7
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,crisis,Ridge,504,40.37968085469906,20.968956910700378,178168779.59095383,18.360091584501824,18.64443734376273,19,11,21
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,XLF,crisis,LightGBM,504,43.30051193846533,17.835736200273313,257180977.20965028,18.360091584501824,0.892232826797211,20,19,8
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,XLF,crisis,Ridge,504,43.643415467489966,18.325268261910075,1776841949.8402228,18.360091584501824,0.0963254841442379,21,20,9
ML_Strict_PreCrisis,by_period,ML,asset_specific,XLF,XLF,crisis,Ridge,504,43.65444535705456,18.335557804349193,1814676320.0986257,18.360091584501824,0.0518759247608933,22,21,10
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,XLF,XLF,post_crisis,GJR_GARCH_11,880,5.965502585792672,3.106925230455332,1.7319700166378864,2.872589686305472,3.2089391426307037,1,2,16
