Asset,scope,model,feature,importance,importance_window_end
KBE,asset_specific_rolling,GradientBoosting,rolling_downside_squared_return_5d,0.0904887704706466,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_abs_return_22d,0.07347981709571885,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,return_lag_1,0.05942484262180006,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,return_lag_3,0.04814665939422185,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,squared_return_lag_1,0.037110394741947744,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_downside_squared_return_22d,0.025935873109072263,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,abs_return_lag_1,0.017987334025638322,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,squared_return_lag_3,0.01707603498636935,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,squared_return_lag_2,0.01372380549669869,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,abs_return_lag_5,0.013045919517899941,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,abs_return_lag_3,0.012610122667203698,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,return_lag_2,0.011243494110933066,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,squared_return_lag_5,0.009877228733648985,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,squared_return_lag_10,0.009245444664333819,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,abs_return_lag_2,0.008894972008774987,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,return_lag_5,0.005437140488639919,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_mean_squared_return_66d,0.004932138451012522,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_negative_share_66d,0.004916227481163426,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_mean_squared_return_22d,0.002325086533367617,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,squared_return_t,0.0015051265100894597,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_sum_squared_return_22d,0.0014169139364034239,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,abs_return_t,0.00042379677137603764,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,return_t,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,negative_return_dummy_t,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,negative_squared_return_t,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_mean_squared_return_5d,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_sum_squared_return_5d,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_volatility_5d,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_abs_return_5d,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_volatility_22d,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_sum_squared_return_66d,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_volatility_66d,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_abs_return_66d,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,rolling_negative_share_5d,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,crisis_dummy,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,post_crisis_dummy,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,negative_x_crisis,0.0,2012-12-27
KBE,asset_specific_rolling,GradientBoosting,negative_squared_x_crisis,0.0,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_mean_squared_return_66d,0.1274614830405,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_sum_squared_return_22d,0.10143489782656381,2012-12-27
KBE,asset_specific_rolling,XGBoost,squared_return_lag_10,0.09050674341249265,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_negative_share_22d,0.06743837408599679,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_abs_return_22d,0.05284536461632944,2012-12-27
KBE,asset_specific_rolling,XGBoost,negative_squared_return_t,0.0513262358773861,2012-12-27
KBE,asset_specific_rolling,XGBoost,return_lag_3,0.047622950725585644,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_sum_squared_return_5d,0.037393601193869905,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_downside_squared_return_66d,0.036591240687795436,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_mean_squared_return_22d,0.0363151929407199,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_downside_squared_return_5d,0.03578640286357675,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_negative_share_66d,0.033452530753128255,2012-12-27
KBE,asset_specific_rolling,XGBoost,return_lag_1,0.026937558425505343,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_mean_squared_return_5d,0.025715517874056466,2012-12-27
KBE,asset_specific_rolling,XGBoost,squared_return_t,0.024059404617608797,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_downside_squared_return_22d,0.022736496239495085,2012-12-27
KBE,asset_specific_rolling,XGBoost,abs_return_t,0.02150990152048032,2012-12-27
KBE,asset_specific_rolling,XGBoost,squared_return_lag_1,0.020635676436480666,2012-12-27
KBE,asset_specific_rolling,XGBoost,squared_return_lag_5,0.01724210075619368,2012-12-27
KBE,asset_specific_rolling,XGBoost,return_t,0.016698461671346948,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_abs_return_5d,0.015730308976776734,2012-12-27
KBE,asset_specific_rolling,XGBoost,squared_return_lag_2,0.015006756058689558,2012-12-27
KBE,asset_specific_rolling,XGBoost,abs_return_lag_3,0.014543482664557668,2012-12-27
KBE,asset_specific_rolling,XGBoost,abs_return_lag_1,0.013592660021125703,2012-12-27
KBE,asset_specific_rolling,XGBoost,abs_return_lag_5,0.012415595832511063,2012-12-27
KBE,asset_specific_rolling,XGBoost,return_lag_5,0.010033239066954164,2012-12-27
KBE,asset_specific_rolling,XGBoost,abs_return_lag_2,0.008977724586218195,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_volatility_22d,0.006715072578448348,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_abs_return_66d,0.004827629030073625,2012-12-27
KBE,asset_specific_rolling,XGBoost,return_lag_2,0.004447395619532948,2012-12-27
KBE,asset_specific_rolling,XGBoost,negative_return_dummy_t,0.0,2012-12-27
