Date,Asset,Period,Model,Standardized_Residuals
2006-08-23,SPY,full_sample,GARCH_11,-0.5582212189058069
2006-08-24,SPY,full_sample,GARCH_11,-0.27195356143932076
2006-08-25,SPY,full_sample,GARCH_11,0.052664410697656004
2006-08-28,SPY,full_sample,GARCH_11,0.641528238048332
2006-08-29,SPY,full_sample,GARCH_11,0.041087303306149486
2006-08-30,SPY,full_sample,GARCH_11,-0.050961769997721354
2006-08-31,SPY,full_sample,GARCH_11,-0.19069324545916425
2006-09-01,SPY,full_sample,GARCH_11,0.9367252162686877
2006-09-05,SPY,full_sample,GARCH_11,0.18199317234233378
2006-09-06,SPY,full_sample,GARCH_11,-1.837057854054708
2006-09-07,SPY,full_sample,GARCH_11,-0.9167676153867008
2006-09-08,SPY,full_sample,GARCH_11,0.3195486891859785
2006-09-11,SPY,full_sample,GARCH_11,0.015697761626830196
2006-09-12,SPY,full_sample,GARCH_11,1.5571627089241016
2006-09-13,SPY,full_sample,GARCH_11,0.5029785878090384
2006-09-14,SPY,full_sample,GARCH_11,-0.13716204064966142
2006-09-15,SPY,full_sample,GARCH_11,0.24615459758578542
2006-09-18,SPY,full_sample,GARCH_11,0.08079113616330405
2006-09-19,SPY,full_sample,GARCH_11,-0.6203860388926109
2006-09-20,SPY,full_sample,GARCH_11,0.808739107606356
2006-09-21,SPY,full_sample,GARCH_11,-1.0549629754147272
2006-09-22,SPY,full_sample,GARCH_11,-0.7056098826397336
2006-09-25,SPY,full_sample,GARCH_11,1.2147206591423012
2006-09-26,SPY,full_sample,GARCH_11,1.2712071636415259
2006-09-27,SPY,full_sample,GARCH_11,0.048138792376171385
2006-09-28,SPY,full_sample,GARCH_11,-0.2182788128658836
2006-09-29,SPY,full_sample,GARCH_11,-0.3042809417393861
2006-10-02,SPY,full_sample,GARCH_11,-0.8425434860177293
2006-10-03,SPY,full_sample,GARCH_11,0.2153356738122098
2006-10-04,SPY,full_sample,GARCH_11,1.988382021194738
2006-10-05,SPY,full_sample,GARCH_11,0.16328407822074828
2006-10-06,SPY,full_sample,GARCH_11,-0.35883570515746555
2006-10-09,SPY,full_sample,GARCH_11,-0.05328028113519108
2006-10-10,SPY,full_sample,GARCH_11,0.07521630915317745
2006-10-11,SPY,full_sample,GARCH_11,-0.3805418208554637
2006-10-12,SPY,full_sample,GARCH_11,1.4394641805620245
2006-10-13,SPY,full_sample,GARCH_11,0.2886893227728618
2006-10-16,SPY,full_sample,GARCH_11,0.11275640150927192
2006-10-17,SPY,full_sample,GARCH_11,-0.7483315229940597
2006-10-18,SPY,full_sample,GARCH_11,0.07650741525758367
2006-10-19,SPY,full_sample,GARCH_11,0.13413859765357072
2006-10-20,SPY,full_sample,GARCH_11,-0.13449726549169552
2006-10-23,SPY,full_sample,GARCH_11,0.7428977707769506
2006-10-24,SPY,full_sample,GARCH_11,0.4167550824919208
2006-10-25,SPY,full_sample,GARCH_11,0.5109804544037153
2006-10-26,SPY,full_sample,GARCH_11,0.45507995730371203
2006-10-27,SPY,full_sample,GARCH_11,-1.5107363599755947
2006-10-30,SPY,full_sample,GARCH_11,-0.3148236667979753
2006-10-31,SPY,full_sample,GARCH_11,-0.20763654214545726
2006-11-01,SPY,full_sample,GARCH_11,-1.5560794133589604
2006-11-02,SPY,full_sample,GARCH_11,-0.27650711825318697
2006-11-03,SPY,full_sample,GARCH_11,-0.5070851215659282
2006-11-06,SPY,full_sample,GARCH_11,1.995361369109423
2006-11-07,SPY,full_sample,GARCH_11,0.48796031926358535
2006-11-08,SPY,full_sample,GARCH_11,0.21430159900768114
2006-11-09,SPY,full_sample,GARCH_11,-1.0863544593129921
2006-11-10,SPY,full_sample,GARCH_11,-0.08069527483738277
2006-11-13,SPY,full_sample,GARCH_11,0.27462692340816985
2006-11-14,SPY,full_sample,GARCH_11,1.1970085923046767
2006-11-15,SPY,full_sample,GARCH_11,0.3421972096356284
2006-11-16,SPY,full_sample,GARCH_11,0.2987648254888387
2006-11-17,SPY,full_sample,GARCH_11,-0.11447877223312236
2006-11-20,SPY,full_sample,GARCH_11,-0.06389615158540822
