asset,period,model,status,error,mu,omega,alpha_1,gamma_1,beta_1,nu,alpha_plus_beta,gjr_approx_persistence,aic,bic,loglikelihood,n_obs
XLF,full_sample,GJR_GARCH_11,success,,0.031847443115586224,0.013927795253078959,0.01608966756364427,0.11523881304859034,0.9247153905109933,6.579386389776155,0.9408050580746375,0.9984244645989327,6758.603155185572,6791.546331597937,-3373.301577592786,1791
XLF,full_sample,EGARCH_11,success,,0.03722283701762383,0.011258617768737818,0.1476397095925369,-0.09589281571312855,0.99232933137276,6.507524247672855,1.139969040965297,,6763.189540876125,6796.132717288489,-3375.5947704380624,1791
XLF,pre_crisis,GARCH_11,success,,0.06361554075632968,0.025253042274517357,0.03837958586642965,,0.9217386289472698,5.428363572996788,0.9601182148136994,,925.9119228215031,945.9436886195118,-457.95596141075157,406
XLF,pre_crisis,GJR_GARCH_11,success,,0.05147578950099854,0.028420508515875024,0.0,0.08939072461330855,0.9083212448671993,6.025019772782312,0.9083212448671993,0.9530166071738536,918.4861143968137,942.5242333544242,-453.24305719840686,406
XLF,pre_crisis,EGARCH_11,success,,0.018079380644802835,-0.029374315242053414,-0.10132138753304445,-0.21860483547616102,0.9523664442605992,8.426054915247063,0.8510450567275548,,900.4993615378678,924.5374804954782,-444.2496807689339,406
XLF,crisis,GARCH_11,success,,-0.1941479717200701,0.17402283655779086,0.1372433222684697,,0.8627566777315303,7.040130028265284,1.0,,2668.1128372893563,2689.2257186297134,-1329.0564186446782,504
XLF,crisis,GJR_GARCH_11,success,,-0.24452813231872583,0.11668673788922909,0.013740180079787242,0.17548221544399173,0.8985187116494725,9.830621326957754,0.9122588917292598,0.9999999994512556,2653.631782340174,2678.9672399486026,-1320.815891170087,504
XLF,crisis,EGARCH_11,success,,-0.30481424723559364,0.037485701559089334,0.1577737662623742,-0.1542559305862738,0.9874031960361366,10.5319256702012,1.1451769622985108,,2651.465872901081,2676.801330509509,-1319.7329364505406,504
XLF,post_crisis,GARCH_11,success,,0.08792799575458463,0.03800135255651711,0.09131180827757449,,0.8969485214975744,6.512215250725294,0.9882603297751489,,3187.7939527986186,3211.6992409282993,-1588.8969763993093,881
XLF,post_crisis,GJR_GARCH_11,success,,0.06177453372963577,0.04101448643946932,0.03611643267029851,0.08409213179079927,0.9053279050403396,6.789990936739795,0.9414443377106381,0.9834904036060377,3183.3421091916653,3212.028454947282,-1585.6710545958326,881
XLF,post_crisis,EGARCH_11,success,,0.07043279415235283,0.02238354308287898,0.17452641947915606,-0.0721278071512489,0.9784014805094307,6.383346512319422,1.1529278999885868,,3187.937730629752,3216.624076385369,-1587.968865314876,881
KBE,full_sample,GARCH_11,success,,0.036694585653387894,0.010516117542858095,0.08507934170544253,,0.914920658293608,6.4375690913422305,0.9999999999990505,,7055.994234468049,7083.446881478353,-3522.9971172340247,1791
KBE,full_sample,GJR_GARCH_11,success,,0.018695728347549657,0.00936727379353284,0.03158936773706086,0.08494381840054499,0.9259387230618941,6.734704010439595,0.957528090798955,0.9999999999992275,7037.4159267520145,7070.359103164379,-3512.7079633760072,1791
KBE,full_sample,EGARCH_11,success,,0.014298234458211276,0.01364739849477082,0.16863681651183113,-0.07416972174285368,0.9936279332819017,6.5102417952366745,1.1622647497937328,,7038.855091002074,7071.798267414439,-3513.427545501037,1791
KBE,pre_crisis,GARCH_11,success,,0.046079188940232545,0.01347435543346769,0.04636534663695655,,0.9351711488596294,4.313979890178569,0.981536495496586,,894.7737751401888,914.8055409381975,-442.3868875700944,406
KBE,pre_crisis,GJR_GARCH_11,success,,0.035070875258775266,0.014601082536475359,0.002078154771124221,0.08262430747212689,0.9365002211943869,4.490271090343765,0.9385783759655112,0.9798905297015746,891.5060481014027,915.5441670590131,-439.75302405070136,406
