asset,period,model,parameter,estimate,std_error,t_stat,p_value
KBE,post_crisis,GARCH_11,beta[1],0.917690534882292,0.01864779726303405,49.21173916350167,0.0
KBE,post_crisis,GARCH_11,nu,8.112341165039386,2.109777163001912,3.845117535302487,0.00012049466883277492
KBE,post_crisis,GJR_GARCH_11,mu,0.04502447032119194,0.04828554298158821,0.9324627526371662,0.3510974274037598
KBE,post_crisis,GJR_GARCH_11,omega,0.03503600429981601,0.02086380906989201,1.6792717083658277,0.09309910216301129
KBE,post_crisis,GJR_GARCH_11,alpha[1],0.04836396988502856,0.019085976730200297,2.5340054935989125,0.011276696382535823
KBE,post_crisis,GJR_GARCH_11,gamma[1],0.038903340810406035,0.027651387806005377,1.4069218182950276,0.15945057306347588
KBE,post_crisis,GJR_GARCH_11,beta[1],0.9208123416307094,0.01917196080461717,48.02911663625719,0.0
KBE,post_crisis,GJR_GARCH_11,nu,8.448951655459199,2.196448083335946,3.846643004931401,0.00011974725028548993
KBE,post_crisis,EGARCH_11,mu,0.04254205202175523,0.048472659759392016,0.8776504576585016,0.38013343786100673
KBE,post_crisis,EGARCH_11,omega,0.019026229008227737,0.010785203800174666,1.764104727248604,0.0777143487418418
KBE,post_crisis,EGARCH_11,alpha[1],0.15513845404746457,0.036292082688064574,4.274718962284442,1.9137854291801918e-05
KBE,post_crisis,EGARCH_11,gamma[1],-0.043542642207018784,0.021787640674191765,-1.9985019423694,0.045662269567187656
KBE,post_crisis,EGARCH_11,beta[1],0.9846469205833632,0.007810220032507133,126.07159804527107,0.0
KBE,post_crisis,EGARCH_11,nu,8.396798247664954,2.2017117890976117,3.8137590438694273,0.00013686891916161046
